Qty,5*QTY,10*QTY,LCSC
1,5,10,C96256
3,15,30,C17024
14,70,140,C720961
2,10,20,C5375882
1,5,10,C19110
2,10,20,C17024
1,5,10,C444721
1,5,10,C356987
6,30,60,C5301773
1,5,10,C492412
1,5,10,Aliexpress
1,5,10, C2718488
1,5,10,C492414 
1,5,10, C2897388
1,5,10,C2988369
1,5,10,C5290175
1,5,10,C918854
1,5,10,C181087
2,10,20,C8547
4,20,40,C2934153
2,10,20,C2907290
8,40,80,C2930231
8,40,80,C2907295
2,10,20,C2930296
2,10,20,C2907293
4,20,40,C2934173
1,5,10,C330583
2,10,20,C125031
1,5,10,C115348
1,5,10,C115348
1,5,10,C115348
1,5,10,C115348
1,5,10,C115348
1,5,10,C115348
1,5,10,C3020419
1,5,10,C89374
1,5,10,C150716
1,5,10,C94021
1,5,10,C13740
1,5,10,C14730
